Pub_date,Topics,Title,Author,Publisher,Language,Description,Access_restricted,Added_date,Pdf_link,TXT_link,ISBN
2007-07-10,#Null,Weaving Periodicals – Madelyn van der Hoogt - Weavecast,Syne Mitchell,#Null,#Null,	ColorCache4,true,2019-04-21 09:40:50,#Null,#Null,[]
2016-06-29,#Null,Marxism,"Aled Walker, Cameron J Quinn, Xavier Cohen",#Null,#Null,#Null,#Null,2019-12-11 19:50:12,#Null,/download/podcast_in-our-spare-time_marxism_1000371700072/podcast_in-our-spare-time_marxism_1000371700072_vbr.m3u,[]
2011,Men -- Conduct of life,The book of man : readings on the path to manhood,"Bennett, William J. (William John), 1943-","Nashville, Tenn. : Thomas Nelson",English,"This book explores the life of men in various contexts: work, play, prayer, war, home, and friendship. Using essays and stories, myths and history, to bring life to the subject, Bennett defines what a man should be, how he should live, and to what he should aspire",true,2019-09-23 10:01:36,#Null,#Null,[]
2019,War And Peace,Fyodor Dostoyevsky (Short Stories) Soviet Edition,Victorian Vault,#Null,English,#Null,#Null,2019-02-04 06:40:47,/download/FyodorDostoyevskyShortStoriesSovietVersion/Fyodor%20Dostoyevsky%20%28Short%20Stories%29%20Soviet%20Version.pdf,/stream/FyodorDostoyevskyShortStoriesSovietVersion/Fyodor%20Dostoyevsky%20%28Short%20Stories%29%20Soviet%20Version_djvu.txt,[]
2017-07-06,#Null,009: It's Never Too Late to Be What You Might Have Been,Daedalus Howell STORY,#Null,English,I mean that’s what people quote anyway — the movies.,true,2017-11-24 12:52:01,#Null,#Null,[]
2020-09-16,Podcast,093 - Who Was Amelia Earhart?,No Dumb Questions,#Null,#Null,#Null,#Null,2021-02-25 10:51:32,#Null,/download/adk7ipdrexu3usfs6sbmem04a9tqrmxfrdjn0rbt/093_-_Who_Is_Amelia_Earhart.mp3,[]
2011-09-10,#Null,"Ferretbrain Presents: the TeXt Factor 2011 - Episode One, part One, the Triumphant Return",FerretBrain Crew,#Null,English,These books are:,true,2018-04-27 16:16:35,#Null,#Null,[]
2016-04-19,#Null,#024 Oil and Gas Careers Podcast: Occidental Careers – Still A Lean Start-Up,James Hahn II & Mark LaCour,#Null,#Null,CLICK HERE TO LISTEN NOW,#Null,2019-04-28 06:57:42,#Null,/download/podcast_oil-gas-careers-podcast_024-oil-gas-careers-podca_1000367137129/podcast_oil-gas-careers-podcast_024-oil-gas-careers-podca_1000367137129_vbr.m3u,[]
2019,Dostoevsky And The Bible,Dostoevsky And The Bible,Victorian Vault,#Null,#Null,#Null,#Null,#Null,#Null,/download/DostoevskyAndTheBible_201901/DostoevskyAndTheBible_201901_archive.torrent,[]
2021-05-30,Podcast,110 - Why Would Someone Check Themselves Into a Nazi Concentration Camp?,No Dumb Questions,#Null,#Null,#Null,#Null,2021-06-04 08:49:07,#Null,/download/651tdjcvdhrn7i5cvhx6tz7njhaxivhkf26hcccw/i21ou3cjzk2uczt-NDQ_110.mp3,[]
